dataset,random_state,sensitive,accuracy,auc,dp_diff,eo_diff
Adult,1000,sex,0.853418593212002,0.9082283690686763,0.18003814563156467,0.07569022470535458
Adult,1000,race,0.8545663223479258,0.9093258614427413,0.17575534266764925,0.13330716902145479
Adult,1000,marital-status,0.8537465158222659,0.9083357079791051,0.393579498108001,0.8461538461538461
Adult,1000,relationship,0.8549762256107558,0.9069599021990451,0.4170210940025839,0.45766957218715565
Adult,1001,sex,0.8470241023118544,0.9038272338157434,0.1730618674151014,0.0949089967384622
Adult,1001,race,0.8461223151336285,0.9047516477334805,0.1483393839877875,0.09346590909090913
Adult,1001,marital-status,0.8461223151336285,0.9042379491033435,0.37183783941787196,0.8571428571428572
Adult,1001,relationship,0.8450565666502705,0.9024753836590904,0.39739311783107406,0.48139745916515425
Adult,1002,sex,0.8516150188555501,0.9040547015033353,0.17786733565056626,0.10361026619213509
Adult,1002,race,0.8512051155927202,0.9051645961724156,0.1941133060853769,0.3180428134556575
Adult,1002,marital-status,0.8520249221183801,0.9051794346325228,0.38884482087061345,0.5427505953183269
Adult,1002,relationship,0.8507952123298902,0.9027396522042127,0.4064859804714619,0.48117637087888804
Adult,1003,sex,0.851860960813248,0.9056792914155447,0.17404824051530637,0.09568686891202094
Adult,1003,race,0.8521888834235121,0.9059830738202317,0.1662837162837163,0.13095238095238093
Adult,1003,marital-status,0.8498934251516642,0.9047828195731838,0.38896415924732775,0.4901960784313725
Adult,1003,relationship,0.8521888834235121,0.9044385820633284,0.4099443930687891,0.40329103101355396
Adult,1004,sex,0.8479258894900803,0.9010156224623282,0.17259672441326135,0.10973760182855608
Adult,1004,race,0.8466141990490245,0.9019070005049505,0.20439781398226436,0.45936139332365744
Adult,1004,marital-status,0.8469421216592884,0.9009073976736837,0.3633275686472548,0.37750476190476195
Adult,1004,relationship,0.8481718314477783,0.8996487492876062,0.3872887631810617,0.4213464129045629
Adult,1005,sex,0.8498934251516642,0.9031599460500167,0.17503864304338435,0.10745779793398846
Adult,1005,race,0.8491555992785702,0.9035895969844704,0.18936714371224905,0.2635514018691588
Adult,1005,marital-status,0.8502213477619281,0.9023876817157688,0.38223099703849955,0.5595238095238095
Adult,1005,relationship,0.8495655025414002,0.9016011325952984,0.405037181059369,0.4254821483737146
Adult,1006,sex,0.852106902770946,0.907824630072022,0.17058448129708403,0.06804505192071975
Adult,1006,race,0.8521888834235121,0.9086084477346619,0.22089386602098465,0.4191011235955056
Adult,1006,marital-status,0.852106902770946,0.9071200246864729,0.3743713155900033,0.76
Adult,1006,relationship,0.852352844728644,0.9067593615180409,0.3971061505938104,0.4172495675881681
Adult,1007,sex,0.8485817347106083,0.9025329841988854,0.1805672464686306,0.10710363789299482
Adult,1007,race,0.8485817347106083,0.9033649345778938,0.20848184073990525,0.26535087719298245
Adult,1007,marital-status,0.8480898507952124,0.9028294581082957,0.38343388925483607,0.44189092641105027
Adult,1007,relationship,0.8489096573208723,0.9022035851491377,0.4086881726286931,0.44551379977594463
Adult,1008,sex,0.8519429414658141,0.9039304201720375,0.17276874821785004,0.11160831674681532
Adult,1008,race,0.8516150188555501,0.90435796714573,0.16055346522636244,0.4848484848484849
Adult,1008,marital-status,0.852106902770946,0.9033145133428024,0.3728031810919607,0.6018518518518519
Adult,1008,relationship,0.852270864076078,0.9028082339427191,0.3991265068554592,0.4272316656897562
Adult,1009,sex,0.8508771929824561,0.9035747954359554,0.1671626817406515,0.06165495058871473
Adult,1009,race,0.8516969995081161,0.9043477980020493,0.18385598141695703,0.39754935330156566
Adult,1009,marital-status,0.8494015412362682,0.903315897527514,0.3622573423844556,0.33797205220002313
Adult,1009,relationship,0.8503853090670602,0.9033045656686757,0.38583415352432304,0.37254004576659044
Adult,1010,sex,0.8515330382029841,0.9066083377381167,0.16996440929408463,0.10536691272253584
Adult,1010,race,0.8506312510247581,0.9069831749579946,0.17493417140915654,0.2240601503759399
Adult,1010,marital-status,0.8513690768978521,0.9058769345365527,0.38232323232323234,0.5431034482758621
Adult,1010,relationship,0.8511231349401541,0.9053680344134157,0.3965378339092754,0.4464536980036936
Adult,1011,sex,0.8514510575504181,0.9035468349047828,0.17839629411717178,0.11307309757487882
Adult,1011,race,0.8521888834235121,0.9042166695703787,0.21401618426505553,0.23809523809523814
Adult,1011,marital-status,0.8516150188555501,0.9026500308580911,0.38655913978494627,0.6181818181818182
Adult,1011,relationship,0.8480898507952124,0.9026568225910756,0.4066836159203624,0.46268930702156946
Adult,1012,sex,0.852680767338908,0.9059575309983552,0.18125716892405266,0.12037467811836328
Adult,1012,race,0.8517789801606821,0.9064379722838237,0.18251748251748254,0.282051282051282
Adult,1012,marital-status,0.852352844728644,0.9063572097198557,0.38677815265757176,0.3720832781968153
Adult,1012,relationship,0.8517789801606821,0.9045193446272963,0.41304117676842844,0.5552582020021806
Adult,1013,sex,0.8510411542875881,0.9033431382826366,0.1660855670452127,0.1194704552793025
Adult,1013,race,0.8511231349401541,0.9039527332295872,0.16974389517569982,0.30416666666666664
Adult,1013,marital-status,0.8512051155927202,0.9031668854293705,0.3796701917906435,0.5067244800470346
Adult,1013,relationship,0.8507952123298902,0.9015477768886185,0.3967941248470013,0.48509430946291565
Adult,1014,sex,0.8539924577799639,0.9064839087604496,0.17773454111123826,0.11614974937343359
Adult,1014,race,0.8541564190850959,0.9072970711389736,0.13013518224589843,0.30168067226890755
Adult,1014,marital-status,0.8533366125594359,0.9059744918750202,0.3847791251918141,0.44058154235145386
Adult,1014,relationship,0.8538284964748319,0.9058262549203152,0.40955696368829964,0.43292567010962546
Adult,1015,sex,0.8482538121003443,0.9017582467879531,0.17163832665242362,0.08413461538461542
