dataset,random_state,sensitive,accuracy,auc,dp_diff,eo_diff
Heart,2000,sex,0.8157894736842105,0.8745644599303135,0.2139077853363568,0.008547008547008517
Heart,2000,age_over_60,0.8289473684210527,0.8975609756097561,0.17142857142857137,0.1166666666666667
Heart,2001,sex,0.8157894736842105,0.8975609756097561,0.23076923076923078,0.0357142857142857
Heart,2001,age_over_60,0.8421052631578947,0.9066202090592335,0.2622826908541194,0.20065789473684215
Heart,2002,sex,0.8289473684210527,0.8710801393728224,0.07070707070707072,0.1785714285714285
Heart,2002,age_over_60,0.8421052631578947,0.8891986062717769,0.2285714285714286,0.26449275362318836
Heart,2003,sex,0.7894736842105263,0.8494773519163764,0.1616078753076292,0.12643678160919547
Heart,2003,age_over_60,0.8026315789473685,0.8494773519163763,0.2377109317681585,0.04575163398692805
Heart,2004,sex,0.8157894736842105,0.8989547038327526,0.18214285714285716,0.074712643678161
Heart,2004,age_over_60,0.8289473684210527,0.9094076655052266,0.08941176470588241,0.0
Heart,2005,sex,0.8289473684210527,0.8376306620209059,0.34316939890710385,0.32352941176470584
Heart,2005,age_over_60,0.8026315789473685,0.8613240418118466,0.2584615384615384,0.35144927536231885
Heart,2006,sex,0.7894736842105263,0.848780487804878,0.19298245614035087,0.16935483870967738
Heart,2006,age_over_60,0.7894736842105263,0.8829268292682926,0.11302681992337166,0.1399999999999999
Heart,2007,sex,0.868421052631579,0.9149825783972125,0.29012961116650055,0.12096774193548387
Heart,2007,age_over_60,0.881578947368421,0.9282229965156795,0.2145593869731801,0.19999999999999996
Heart,2008,sex,0.8026315789473685,0.8878048780487805,0.25595238095238093,0.06439393939393934
Heart,2008,age_over_60,0.7763157894736842,0.8843205574912892,0.01010101010101011,0.11594202898550732
Heart,2009,sex,0.881578947368421,0.9128919860627177,0.38901960784313727,0.1954022988505747
Heart,2009,age_over_60,0.881578947368421,0.9198606271777003,0.09977989728539988,0.02960526315789469
Heart,2010,sex,0.8026315789473685,0.8857142857142857,0.27243589743589747,0.1785714285714286
Heart,2010,age_over_60,0.8289473684210527,0.9038327526132405,0.181547619047619,0.07565789473684215
Heart,2011,sex,0.7763157894736842,0.8620209059233449,0.2289562289562289,0.005747126436781658
Heart,2011,age_over_60,0.7894736842105263,0.862020905923345,0.19934372436423298,0.15034965034965042
Heart,2012,sex,0.7631578947368421,0.791637630662021,0.13690476190476186,0.06060606060606066
Heart,2012,age_over_60,0.7368421052631579,0.8139372822299652,0.18961038961038956,0.02898550724637683
Heart,2013,sex,0.8947368421052632,0.9491289198606271,0.363768115942029,0.07142857142857151
Heart,2013,age_over_60,0.8947368421052632,0.9623693379790941,0.2971014492753623,0.07236842105263153
Heart,2014,sex,0.8026315789473685,0.8689895470383274,0.2543068088597211,0.040322580645161255
Heart,2014,age_over_60,0.7894736842105263,0.886411149825784,0.017543859649122806,0.0641025641025641
Heart,2015,sex,0.8289473684210527,0.9142857142857141,0.0,0.042735042735042694
Heart,2015,age_over_60,0.8289473684210527,0.9128919860627178,0.08616780045351474,0.01666666666666672
Heart,2016,sex,0.8289473684210527,0.8989547038327527,0.3717948717948718,0.20000000000000007
Heart,2016,age_over_60,0.8552631578947368,0.9184668989547038,0.0035714285714285587,0.11956521739130432
Heart,2017,sex,0.8289473684210527,0.8912891986062718,0.41025641025641024,0.14583333333333337
Heart,2017,age_over_60,0.8421052631578947,0.9163763066202091,0.10745098039215684,0.22101449275362317
Heart,2018,sex,0.868421052631579,0.8982578397212544,0.3202898550724638,0.02314814814814814
Heart,2018,age_over_60,0.881578947368421,0.9219512195121952,0.0267857142857143,0.1048951048951049
Heart,2019,sex,0.8421052631578947,0.8940766550522647,0.35521885521885527,0.0
Heart,2019,age_over_60,0.8157894736842105,0.9059233449477352,0.2205387205387206,0.24125874125874136
Heart,2020,sex,0.8157894736842105,0.8850174216027874,0.6121794871794872,0.7
Heart,2020,age_over_60,0.8157894736842105,0.8905923344947735,0.14746881878209833,0.1166666666666667
Heart,2021,sex,0.8552631578947368,0.9010452961672473,0.31076923076923074,0.06666666666666665
Heart,2021,age_over_60,0.8289473684210527,0.9066202090592335,0.20862745098039215,0.11904761904761907
Heart,2022,sex,0.868421052631579,0.9114982578397212,0.3685897435897435,0.1785714285714286
Heart,2022,age_over_60,0.868421052631579,0.9282229965156795,0.23538461538461541,0.03289473684210531
Heart,2023,sex,0.868421052631579,0.9101045296167247,0.3214285714285714,0.18981481481481477
Heart,2023,age_over_60,0.8552631578947368,0.9247386759581881,0.21846153846153843,0.07565789473684215
Heart,2024,sex,0.7894736842105263,0.8724738675958188,0.2744107744107744,0.19999999999999996
Heart,2024,age_over_60,0.8289473684210527,0.9010452961672474,0.009411764705882342,0.15384615384615385
Heart,2025,sex,0.8157894736842105,0.8627177700348432,0.21043771043771042,0.1724137931034483
Heart,2025,age_over_60,0.8157894736842105,0.8731707317073171,0.08771929824561409,0.10185185185185186
Heart,2026,sex,0.881578947368421,0.9560975609756098,0.2886274509803921,0.2142857142857143
Heart,2026,age_over_60,0.9078947368421053,0.9581881533101045,0.22745098039215683,0.006535947712418277
Heart,2027,sex,0.8552631578947368,0.9101045296167248,0.3,0.0
Heart,2027,age_over_60,0.8552631578947368,0.929616724738676,0.23905723905723908,0.023026315789473673
Heart,2028,sex,0.881578947368421,0.9428571428571428,0.5096153846153846,0.15322580645161288
Heart,2028,age_over_60,0.868421052631579,0.9491289198606272,0.2744107744107744,0.019736842105263164
Heart,2029,sex,0.7631578947368421,0.840418118466899,0.19770303527481545,0.00462962962962965
Heart,2029,age_over_60,0.75,0.8564459930313588,0.3142857142857143,0.18478260869565222
